一 ○ 五 年 度 公 路 平 均 每 日 交 通 量 調 查 統 計 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報單位：交通部公路總局第一區養護工程處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    調查週期：定期按年辦理
縣,調      查      站,,,,路,起 迄 地 名,起 迄 樁 號,"地

形","里


程","路
面
寬
度","方


向",車道佈設,,,總        計,,各  車  種  車  輛  數  (輛/日),,,,,,,尖峰小時,,方,自行車,,備
市,編,地,樁,座,線,,,,,,,"快車道
寛    度",機慢車道寛度,"路肩
寛度",流,車,合,小,大,大,"全
聯
結
車","半
聯
結
車",機,,,向,,,
, ,,,,編,,,,,,,,,,量,公,,型,客,貨,,,,交通量,時段,係,平  日,假  日,
別,號,點,號,標,號,,,,(公里),(公尺),(往),(公尺),(公尺),(公尺),(PCU),里,計,車,車,車,,,車,(PCU),,數,交通量,交通量,註
新北市,Ⅰ-01,忠孝大橋,2K+000,"E121'30'7.8""",台1線,台北~化成路,1K+439~6K+100,平原區,4.7,28.0,北,"3.1,3.3,3.5","1.3,1.3",0.2,"90,307 ","471,720 ","100,366 ","57,541 ","2,465 ",645 ,1 ,129 ,"39,585 ","8,855 ",08-09,0.50,,,"快慢分隔,1車道"
,,,,"N25'03'4.9""",,,,,,,南,"3.1,3.3,3.5","1.3,1.3",0.2,"91,017 ","464,755 ","98,884 ","61,009 ","3,224 ",550 ,0 ,207 ,"33,894 ","7,853 ",18-19,,,,"快慢分隔,1車道"
新北市,Ⅰ-02,新莊思源路口,7K+000,"E121'27'18.1""",台1線,化成路~新莊,6K+100~11K+863,平原區,5.8,29.4,北,"3.3,3.4",3.9,0.7,"29,360 ","191,620 ","33,038 ","17,662 ",289 ,409 ,1 ,162 ,"14,515 ","2,839 ",17-18,0.63,,,"快慢分隔,1車道"
,,,,"N25'03'38.4""",,,,,,,南,"3.3,3.4",3.9,0.7,"15,871 ","111,592 ","19,240 ","6,053 ",198 ,179 ,1 ,123 ,"12,686 ","1,732 ",07-08,,,,"快慢分隔,1車道"
新北市,Ⅰ-03,近新五路口匝道,7K+200,"E121'27'4.0""",台1線,化成路~新莊,5K+500~9K+500,平原區,4.0,18.6,北,"3.5,3.5",0.00,1.4,"25,236 ","99,780 ","24,945 ","23,525 ",520 ,322 ,1 ,41 ,536 ,"1,979 ",07-08,0.57,,,高架段
,,,,"N25'03'38.0""",,,,,,,南,"3.5,3.5",0.00,1.4,"33,863 ","134,040 ","33,510 ","32,011 ",450 ,368 ,0 ,90 ,591 ,"2,432 ",07-08,,,,高架段
新北市,Ⅰ-04,明志路口,12K+200,"E121'25'13.6""",台1線,新莊~桃園縣縣市界,11K+863~14K+060,平原區,2.2,28.0,北,"3.3,3.2,3.3",0.00,0.2,"28,116 ","73,905 ","33,593 ","17,891 ",123 ,497 ,0 ,102 ,"14,980 ","3,019 ",07-08,0.53,,,
,,,,"N25'01'57.1""",,,,,,,南,"3.3,3.3,4.3",0.00,0.2,"24,936 ","64,537 ","29,335 ","16,179 ",69 ,524 ,2 ,135 ,"12,426 ","2,474 ",07-08,,,,
桃園縣,Ⅰ-05,塔寮坑,14K+500,"E121'24'20.0""",台1線,新北市縣市界~嶺頂,14K+060~19K+000,平原區,4.9,31.8,北,"3.5,3.5,3.5",4.0,0.6,"40,287 ","227,997 ","46,530 ","19,541 ",630 ,965 ,3 ,248 ,"25,143 ","4,072 ",17-18,0.51,,,
,,,,"N25'01'5.6""",,,,,,,南,"3.5,3.5,3.5",0.00,4.0 ,"36,005 ","218,457 ","44,583 ","19,198 ",618 ,592 ,3 ,200 ,"23,972 ","3,973 ",07-08,,,,
桃園縣,Ⅰ-06,嶺頂,19K+800,"E121'21'49.5""",台1線,嶺頂~龜山,19K+000~22K+000,平原區,3.0,16.2,北,"3.5,3.5",0.00,1.2,"18,909 ","67,518 ","22,506 ","11,158 ",95 ,458 ,4 ,181 ,"10,610 ","1,770 ",17-18,0.59,,,
,,,,"N25'00'4.6""",,,,,,,南,"3.5,3.5",0.00,0.8,"13,261 ","46,149 ","15,383 ","8,460 ",91 ,262 ,6 ,131 ,"6,433 ","1,534 ",07-08,,,,
桃園縣,Ⅰ-07,龜山,23K+050,"E121'20'1.9""",台1線,龜山~永安橋,22K+000~29K+219,平原區,7.2,25.0,北,"3.5,3.5",2.0 ,2.2 ,"28,206 ","231,926 ","32,212 ","16,479 ",49 ,454 ,5 ,130 ,"15,095 ","3,866 ",07-08,0.52,,,
,,,,"N24'59'51.4""",,,,,,,南,"3.5,3.5",2.0,2.3 ,"29,791 ","248,184 ","34,470 ","16,411 ",55 ,605 ,9 ,82 ,"17,308 ","3,150 ",17-18,,,,
桃園縣,Ⅰ-08,南茄苳,30K+900,"E121'16'10.8""",台1線,永安橋~桃圳橋,29K+219~31K+529,平原區,2.3,24.2,北,"3.4,3.3,3.3",0.00,0.6,"30,995 ","91,232 ","39,666 ","16,271 ",483 ,202 ,0 ,29 ,"22,681 ","2,555 ",07-08,0.56,,,
,,,,"N24'58'38.9""",,,,,,,南,"3.4,3.3,3.3",0.00,0.6,"39,538 ","114,188 ","49,647 ","21,093 ",560 ,266 ,0 ,237 ,"27,491 ","3,318 ",07-08,,,,
桃園縣,Ⅰ-09,埔頂,35K+200,"E121'14'0.3""",台1線,桃圳橋~112線交岔路口,31K+529~37K+926,平原區,6.4,24.2,北,"3.5,3.5",3.0,0.8,"36,013 ","268,115 ","41,893 ","19,723 ",771 ,137 ,1 ,18 ,"21,243 ","3,406 ",07-08,0.51,,,
,,,,"N24'57'49.1""",,,,,,,南,"3.5,3.5",2.8,0.8,"37,493 ","277,606 ","43,376 ","20,867 ",769 ,220 ,0 ,34 ,"21,486 ","3,254 ",17-18,,,,
桃園縣,Ⅰ-10,平興國中,39K+200,"E121'12'23.0""",台1線,112線交岔路口~大埔尾,37K+926~39K+753,平原區,1.8,24.2,北,"3.5,3.5",0.00,3.5 ,"15,259 ","31,610 ","17,561 ","11,306 ",52 ,127 ,1 ,15 ,"6,060 ","1,467 ",07-08,0.52,,,
,,,,"N24'56'57.4""",,,,,,,南,"3.5,3.5",0.00,3.5 ,"16,196 ","33,883 ","18,824 ","11,673 ",54 ,153 ,0 ,19 ,"6,925 ","1,662 ",17-18,,,,
桃園縣,Ⅰ-11,平鎮,43K+050,"E121'11'15.3""",台1線,大埔尾~埔心,39K+753~43K+592,平原區,3.8,24.2,北,"3.5,3.5",2.0 ,1.3,"23,158 ","100,704 ","26,501 ","12,849 ",242 ,405 ,0 ,102 ,"12,903 ","2,408 ",07-08,0.52,,,
,,,,"N24'55'23.8""",,,,,,,南,"3.5,3.5",4.2,0.1,"25,593 ","111,032 ","29,219 ","14,101 ",275 ,378 ,2 ,166 ,"14,297 ","2,452 ",07-08,,,,
桃園縣,Ⅰ-12,楊梅,48K+100,"E121'08'43.9""",台1線,埔心~新竹縣縣界,43K+592~51K+966,平原區,8.4,24.6,北,"3.5,3.5",0.00,4.3,"19,116 ","171,805 ","20,453 ","13,826 ",230 ,566 ,8 ,241 ,"5,582 ","1,853 ",17-18,0.51,,,
,,,,"N24'54'25.3""",,,,,,,南,"3.5,3.5,3.3",0.00,1.0 ,"19,988 ","178,786 ","21,284 ","14,447 ",124 ,680 ,7 ,291 ,"5,735 ","2,406 ",07-08,,,,
新竹縣,Ⅰ-13,長安站,54K+400,"E121'05'14.9""",台1線,桃園縣縣界~老湖口,51K+966~57K+500,平原區,5.5,24.6,北,"3.5,3.5",2.0,1.8,"12,242 ","70,868 ","12,885 ","8,579 ",85 ,363 ,3 ,123 ,"3,732 ","1,365 ",17-18,0.57,,,
,,,,"N24'53'17.1""",,,,,,,南,"3.5,3.5",2.0 ,2.0,"9,214 ","53,146 ","9,663 ","6,278 ",61 ,370 ,3 ,93 ,"2,858 ","1,159 ",07-08,,,,
新竹縣,Ⅰ-14,波羅汶,60K+800,"E121'01'37.9""",台1線,老湖口~新豐,57K+500~64K+600,平原區,7.1,25.2,北,"3.5,3.5",2.0,2.2,"6,952 ","52,732 ","7,427 ","4,515 ",74 ,199 ,5 ,73 ,"2,561 ",639 ,17-18,0.53,,,
,,,,"N24'53'1.8""",,,,,,,南,"3.5,3.5",2.0,2.5,"6,249 ","47,279 ","6,659 ","4,010 ",59 ,217 ,4 ,67 ,"2,302 ",661 ,07-08,,,,
新竹縣,Ⅰ-15,鳳山溪橋,67K+550,"E121'00'13.1""",台1線,新豐~竹北,64K+600~68K+700,平原區,4.1,24.2,北,"3.5,3.5",2.1 ,1.2,"32,866 ","154,623 ","37,713 ","19,210 ",190 ,347 ,6 ,113 ,"17,847 ","3,766 ",07-08,0.50,,,
,,,,"N24'51'12.4""",,,,,,,南,"3.5,4.0",3.0,1.2,"32,882 ","153,963 ","37,552 ","19,356 ",261 ,448 ,3 ,93 ,"17,391 ","3,047 ",17-18,,,,
新竹縣,Ⅰ-16,頭前溪橋,70K+900,"E120'59'49.4""",台1線,竹北~新竹市縣市界,68K+700~71K+510,平原區,2.8,38.0,北,"3.5,3.5,3.5",0.00,5.2,"33,153 ","108,522 ","38,758 ","22,959 ",322 ,319 ,0 ,57 ,"15,101 ","2,902 ",07-08,0.60,104 ,286 ,"(平日)自行車車輛數(輛/日)：102
(假日)自行車車輛數(輛/日)：224"
,,,,"N24'49'31.5""",,,,,,,南,"3.5,3.5,5.7","2.7,2.5",1.2,"51,076 ","162,036 ","57,870 ","32,547 ",322 ,385 ,0 ,103 ,"24,513 ","4,341 ",17-18,,85 ,195 ,"(平日)自行車車輛數(輛/日)：135
(假日)自行車車輛數(輛/日)：380"
新竹市,Ⅰ-17,東大路路口,74K+700,"E120'50'2.4""",台1線,新竹縣縣市界~西大路路口,71K+510~75K+440,平原區,3.9,27.6,北,"3.5,3.5,4.0",0.00,1.6,"21,668 ","103,997 ","26,666 ","13,299 ",37 ,293 ,0 ,21 ,"13,016 ","2,020 ",07-08,0.52,,,
,,,,"N24'48'49.9""",,,,,,,南,"3.5,3.5,4.0",0.00,1.3,"20,152 ","95,870 ","24,582 ","12,715 ",85 ,237 ,0 ,11 ,"11,534 ","1,880 ",18-19,,,,
新竹市,Ⅰ-18,牛埔,78K+900,"E120'56'15.5""",台1線,西大路路口~新竹縣縣市界,75K+440~85K+250,平原區,9.8,25.4,北,"3.5,3.5",2.0,2.4,"19,215 ","218,677 ","22,314 ","10,571 ",248 ,161 ,2 ,40 ,"11,292 ","1,924 ",07-08,0.52,52 ,114 ,"(平日)自行車車輛數(輛/日)：79
(假日)自行車車輛數(輛/日)：148"
,,,,"N24'47'28.0""",,,,,,,南,"3.5,3.5",2.0,2.7,"17,958 ","202,370 ","20,650 ","10,412 ",210 ,151 ,5 ,34 ,"9,838 ","1,477 ",17-18,,81 ,108 ,"(平日)自行車車輛數(輛/日)：139
(假日)自行車車輛數(輛/日)：179"
新竹縣,Ⅰ-19,中隘,87K+300,"E120'54'57.3""",台1線,新竹市縣市界~苗栗縣縣界,85K+250~89K+547,平原區,4.3,31.4,北,"3.7,3.8",3.0,3.3,"11,473 ","51,097 ","11,883 ","8,443 ",131 ,317 ,3 ,111 ,"2,878 ","1,213 ",07-08,0.52,,,
,,,,"N24'43'52.4""",,,,,,,南,"3.7,3.8",3.0,3.9,"10,443 ","46,526 ","10,820 ","7,671 ",112 ,244 ,4 ,119 ,"2,670 ","1,333 ",08-09,,,,
,,,,,,合計,,,92.0,,,,,," 1,043,614 "," 5,506,321 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,Ⅰ-20,台北橋,4K+150,"E121'30'15.0""",台1甲線,台北橋~正義北路,3K+357~4K+489,平原區,1.1,27.4,北,"3.3,3.3","2.8,2.8",0.2,"58,620 ","83,409 ","75,826 ","14,701 ","1,370 ",44 ,0 ,0 ,"59,711 ","7,653 ",07-08,0.52,,,"快慢分隔,2車道"
,,,,"N25'03'50.4""",,,,,,,南,"3.3,3.3","2.8,2.8",0.2,"53,778 ","75,629 ","68,754 ","14,956 ","1,373 ",80 ,0 ,0 ,"52,345 ","5,530 ",18-19,,,,"快慢分隔,2車道"
新北市,Ⅰ-21,電信局,5K+900,"E121'29'21.5""",台1甲線,正義北路~思源路口,4K+489~9K+971,平原區,5.5,27.4,北,"3.5,3.5,3.5",0.00,2.2,"26,776 ","198,561 ","36,102 ","9,173 ","1,425 ",177 ,0 ,1 ,"25,326 ","2,273 ",07-08,0.53,,,
,,,,"N25'03'29.6""",,,,,,,南,"3.5,3.5,3.5",0.00,2.1,"23,904 ","178,651 ","32,482 ","8,094 ","1,152 ",156 ,0 ,0 ,"23,080 ","1,939 ",17-18,,,,
新北市,Ⅰ-22,新泰路口,10K+800,"E121'26'54.7""",台1甲線,思源路口~桃園縣縣市界,9K+971~14K+402,平原區,4.4,20.1,北,"3.5,5.2",0.00,0.3,"37,240 ","216,762 ","49,264 ","15,335 ","1,407 ",279 ,0 ,12 ,"32,231 ","2,838 ",17-18,0.54,,,
,,,,"N25'02'6.9""",,,,,,,南,"3.5,5.2",0.00,0.3,"32,708 ","186,287 ","42,338 ","13,368 ","1,920 ",208 ,0 ,18 ,"26,824 ","2,453 ",07-08,,,,
桃園縣,Ⅰ-23,嶺頂,19K+700,"E121'22'10.1""",台1甲線,新北市縣市界~嶺頂,14K+402~20K+994,平原區,6.6,20.0,北,3.4,2.5,3.0,"10,503 ","94,103 ","14,258 ","5,099 ",97 ,364 ,1 ,52 ,"8,645 ",943 ,07-08,0.60,,,
,,,,"N25'00'26.0""",,,,,,,南,"3.4,3.5",0.00,3.0,"16,788 ","141,524 ","21,443 ","8,195 ",123 ,464 ,0 ,48 ,"12,613 ","1,939 ",07-08,,,,
桃園縣,Ⅰ-24,山頂村,25K+400,"E121'19'20.5""",台1甲線,嶺頂~龜山,20K+994~25K+500,平原區,4.5,25.2,北,"3.4,3.5",2.1 ,2.4,"26,981 ","145,822 ","32,405 ","12,508 ",310 ,342 ,1 ,9 ,"19,235 ","2,887 ",07-08,0.53,,,
,,,,"N24'59'31.1""",,,,,,,南,"3.4,3.5,3.5",2.0,1.0,"30,717 ","166,401 ","36,978 ","14,285 ",370 ,288 ,0 ,9 ,"22,026 ","3,128 ",17-18,,,,
桃園縣,Ⅰ-25,桃園電力公司,27K+000,"E121'18'17.7""",台1甲線,龜山~桃園,25K+500~27K+408,平原區,1.9,18.7,北,"3.4,3.5",0.00,2.0,"24,842 ","59,337 ","31,230 ","14,122 ",350 ,139 ,0 ,6 ,"16,613 ","2,359 ",07-08,0.54,,,
,,,,"N24'59'22.8""",,,,,,,南,"3.4,3.5",0.00,2.7,"20,529 ","50,477 ","26,567 ","10,517 ",295 ,116 ,0 ,5 ,"15,634 ","1,702 ",17-18,,,,
,,,,,,合計,,,24.0,,,,,," 363,386 "," 1,596,963 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,Ⅰ-26,竹圍,1K+000,"E121'27'33.7""",台2線,關渡~紅樹林,0K+000~1K+155,平原區,1.2,25.8,東,"3.4,3.4,4.2",0.00,1.0 ,"66,071 ","91,552 ","76,293 ","45,141 ",590 ,972 ,4 ,343 ,"29,243 ","4,890 ",18-19,0.51,,,
,,,,"N25'08'1.4""",,,,,,,西,"3.4,3.4,4.2",0.00,1.0 ,"64,199 ","89,466 ","74,555 ","43,331 ",773 ,834 ,3 ,283 ,"29,331 ","5,432 ",07-08,,,,
新北市,Ⅰ-27,紅樹林,3K+400,"E121'27'30.8""",台2線,紅樹林~台2乙線交岔路口,1K+155~3K+596,平原區,2.4,26.8,東,"3.0,3.0,3.2,5.3",0.00,0.4,"62,538 ","175,279 ","73,033 ","41,230 ",719 ,873 ,4 ,326 ,"29,881 ","4,625 ",07-08,0.50,,,
,,,,"N25'09'25.2""",,,,,,,西,"3.0,3.2,3.8",0.00,0.4,"62,857 ","177,346 ","73,894 ","40,585 ",772 ,950 ,3 ,304 ,"31,280 ","5,892 ",07-08,,,,
新北市,Ⅰ-28,金龍橋,5K+600,"E121'27'30.2""",台2線,台2乙線交岔路口~金龍橋,3K+596~6K+000,平原區,2.4,25.0,東,"3.5,3.5,3.5",0.00,1.3,"36,316 ","98,054 ","40,856 ","25,601 ",304 ,712 ,4 ,266 ,"13,969 ","3,299 ",07-08,0.50,,,
,,,,"N25'10'25.3""",,,,,,,西,"3.5,3.5,3.5",0.00,1.7 ,"35,326 ","97,560 ","40,650 ","23,709 ",267 ,656 ,3 ,256 ,"15,759 ","3,212 ",07-08,,,,
新北市,Ⅰ-29,林子,8K+900,"E121'26'52.6""",台2線,金龍橋~林子,6K+000~9K+500,平原區,3.5,22.3,東,"3.5,3.5",0.00,3.1,"21,691 ","88,896 ","25,399 ","14,014 ",331 ,467 ,4 ,49 ,"10,534 ","2,247 ",07-08,0.52,40 ,181 ,"(平日)自行車車輛數(輛/日)：43
(假日)自行車車輛數(輛/日)：109"
,,,,"N25'11'56.1""",,,,,,,西,"3.5,3.5",0.00,3.6,"23,680 ","95,462 ","27,275 ","15,332 ",351 ,615 ,3 ,127 ,"10,847 ","2,548 ",17-18,,40 ,230 ,"(平日)自行車車輛數(輛/日)：42
(假日)自行車車輛數(輛/日)：132"
新北市,Ⅰ-30,三芝,19K+100,"E121'29'45.7""",台2線,林子~三芝,9K+500~21K+000,平原區,11.5,24.6,東,"3.7,3.5",2.5,1.2,"12,221 ","151,846 ","13,204 ","8,667 ",255 ,136 ,0 ,28 ,"4,118 ","1,362 ",11-12,0.51,,,
,,,,"N25'15'35.7""",,,,,,,西,"3.5,3.5",2.5,1.8,"12,594 ","158,022 ","13,741 ","8,864 ",212 ,91 ,0 ,32 ,"4,542 ","1,923 ",16-17,,,,
新北市,Ⅰ-31,石門,27K+900,"E121'33'52.4""",台2線,三芝~乾華,21K+000~32K+000,平原區,11.0,19.6,東,"3.5,3.5",0.00,1.5,"6,385 ","75,471 ","6,861 ","4,976 ",138 ,109 ,0 ,23 ,"1,615 ","1,011 ",15-16,0.52,32 ,101 ,
,,,,"N25'17'27.7""",,,,,,,西,"3.5,3.5",0.00,1.5,"6,859 ","82,544 ","7,504 ","5,097 ",179 ,88 ,0 ,32 ,"2,108 ","1,178 ",14-15,,30 ,123 ,
新北市,Ⅰ-32,金山,43K+600,"E121'38'52.6""",台2線,乾華~金山,32K+000~45K+000,平原區,13.0,18.2,東,"3.5,3.5",0.00,1.1,"13,317 ","181,857 ","13,989 ","10,646 ",408 ,144 ,0 ,70 ,"2,721 ","2,038 ",15-16,0.50,,,
,,,,"N25'12'40.2""",,,,,,,西,"3.5,3.5",0.00,1.1,"13,288 ","182,507 ","14,039 ","10,538 ",418 ,143 ,1 ,59 ,"2,880 ","1,706 ",15-16,,,,
新北市,Ⅰ-33,萬里隧道,47K+000,"E121'40'36.0""",台2線,金山~萬里,45K+000~48K+950,平原區,4.0,16.8,東,"3.2,3.5",0.00,1.0,"12,030 ","49,912 ","12,478 ","10,081 ",129 ,173 ,0 ,99 ,"1,996 ","1,965 ",16-17,0.51,,,
,,,,"N25'12'1.1""",,,,,,,西,"3.1,3.8",0.00,0.7,"11,423 ","47,468 ","11,867 ","9,636 ",169 ,139 ,1 ,70 ,"1,852 ","1,516 ",15-16,,,,
新北市,Ⅰ-34,萬里大橋,50K+150,"E121'41'31.1""",台2線,萬里~基隆市市界,48K+950~52K+000,平原區,3.1,24.0,東,"3.5,3.5",0.00,4.1,"13,228 ","42,017 ","13,554 ","11,215 ",304 ,149 ,0 ,84 ,"1,802 ","1,732 ",17-18,0.52,32 ,39 ,"(平日)自行車車輛數(輛/日)：14
(假日)自行車車輛數(輛/日)：67"
,,,,"N25'10'47.3""",,,,,,,西,"3.5,3.5",0.00,4.1,"14,499 ","45,948 ","14,822 ","12,279 ",344 ,166 ,1 ,97 ,"1,935 ","1,902 ",11-12,,26 ,67 ,"(平日)自行車車輛數(輛/日)：37
(假日)自行車車輛數(輛/日)：102"
基隆市,Ⅰ-35,大武崙,55K+700,"E121'42'0.1""",台2線,新北市市界~破瀨,52K+000~58K+990,平原區,7.0,17.4,東,3.8,2.1,1.5,"22,149 ","156,464 ","22,352 ","16,541 ",937 ,476 ,2 ,231 ,"4,165 ","3,947 ",17-18,0.50,,,
,,,,"N25'08'54.2""",,,,,,,西,3.8,2.1,2.1 ,"21,716 ","156,639 ","22,377 ","16,717 ",862 ,352 ,1 ,138 ,"4,307 ",,,,,,
基隆市,Ⅰ-36,碧沙橋,68K+150,"E121'47'7.5""",台2線,破瀨~新北市市界,58K+990~70K+503,平原區,11.5,15.2,東,3.5,1.6,2.8,"10,570 ","157,838 ","13,725 ","6,290 ",231 ,77 ,0 ,40 ,"7,087 ","2,145 ",14-15,0.50,,,
,,,,"N25'08'40.7""",,,,,,,西,3.5,1.6 ,2.0 ,"10,214 ","155,560 ","13,527 ","5,948 ",213 ,61 ,0 ,26 ,"7,279 ",,,,,,
新北市,Ⅰ-37,瑞濱,73K+800,"E121'49'26.7""",台2線,基隆市市界~水湳洞,70K+503~81K+545,平原區,11.0,22.7,東,"3.5,3.5",0.00,2.5,"11,451 ","104,577 ","9,507 ","6,670 ",115 ,249 ,47 ,"1,099 ","1,327 ","1,339 ",11-12,0.51,,,
,,,,"N25'07'14.8""",,,,,,,西,"3.5,4.4",0.00,2.8,"11,926 ","107,690 ","9,790 ","6,633 ",126 ,303 ,60 ,"1,195 ","1,473 ","1,615 ",17-18,,,,
新北市,Ⅰ-38,和美,91K+000,"E121'54'51.9""",台2線,水湳洞~澳底,81K+545~94K+798,平原區,13.3,12.1,東,3.5,0.00,2.3,"7,075 ","60,143 ","4,522 ","2,666 ",109 ,250 ,38 ,"1,139 ",320 ,"1,332 ",12-13,0.52,,,
,,,,"N25'04'46.0""",,,,,,,西,3.5,0.00,2.8,"7,037 ","63,960 ","4,809 ","3,013 ",110 ,207 ,45 ,"1,015 ",419 ,,,,,,
新北市,Ⅰ-39,隆隆橋,100K+800,"E121'56'45.1""",台2線,澳底~宜蘭縣縣市界,94K+798~113K+646,平原區,18.8,11.7,東,3.6,0.00,2.5,"6,879 ","83,303 ","4,431 ","2,297 ",31 ,294 ,33 ,"1,178 ",598 ,"1,586 ",11-12,0.53,,,
,,,,"N25'01'0.7""",,,,,,,西,3.6,0.00,1.8 ,"7,093 ","93,568 ","4,977 ","2,889 ",25 ,238 ,49 ,"1,057 ",719 ,,,,,,
,,,,,,合計,,,113.7,,,,,," 604,632 "," 3,070,949 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,Ⅰ-40,重光,1K+850,"E121'36'50.5""",台2甲線,金山~台北市市界,0K+000~9K+425,平原區,9.4,10.0,東,4.2,0.00,1.0,"2,963 ","31,875 ","3,391 ","2,347 ",30 ,31 ,1 ,0 ,982 ,"1,007 ",14-15,0.54,,,
,,,,"N25'13'5.2""",,,,,,,西,4.2,0.00,0.6,"3,318 ","37,139 ","3,951 ","2,520 ",25 ,30 ,0 ,0 ,"1,376 ",,,,,,
,,,,,,合計,,,9.4,,,,,," 6,281 "," 69,014 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,Ⅰ-41,竿蓁林,15K+300,"E121'27'17.4""",台2乙線,登輝大道~淡水,10K+931~16K+996,平原區,6.1,21.8,東,"3.5,3.5",0.00,2.6,"26,223 ","199,195 ","32,655 ","15,180 ",409 ,183 ,0 ,10 ,"16,873 ","2,107 ",18-19,0.50,,,台2乙線11K+548~15K+146與台2線共線
,,,,"N25'09'34.5""",,,,,,,西,"3.5,3.5",0.00,2.7 ,"26,883 ","199,781 ","32,751 ","16,605 ",470 ,143 ,0 ,16 ,"15,517 ","2,574 ",07-08,,,,
新北市,Ⅰ-42,清潔隊,17K+600,"E121'26'23.9""",台2乙線,淡水~林子,16K+996~25K+217,平原區,8.2,17.2,東,"3.4,3.5",0.00,0.8,"15,147 ","149,109 ","18,184 ","9,329 ",475 ,80 ,0 ,2 ,"8,298 ","1,247 ",18-19,0.59,,,
,,,,"N25'10'21.2""",,,,,,,西,"3.4,3.5",0.00,0.8,"10,810 ","101,606 ","12,391 ","7,084 ",517 ,79 ,0 ,2 ,"4,709 ","1,333 ",17-18,,,,
,,,,,,合計,,,14.3,,,,,," 79,063 "," 649,691 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,Ⅰ-43,水源橋,0K+400,"E121'44'9.1""",台2丙線,暖暖~東勢寮,0K+000~3K+900,平原區,3.9,12.2,東,3.5,0.00,2.5,"10,205 ","44,651 ","11,449 ","8,394 ",133 ,54 ,0 ,1 ,"2,867 ","1,708 ",17-18,0.50,,,
,,,,"N25'06'7.0""",,,,,,,西,3.5,0.00,2.5,"10,414 ","45,002 ","11,539 ","8,510 ",178 ,80 ,0 ,1 ,"2,770 ",,,,,,
新北市,Ⅰ-44,基平隧道,7K+800,"E121'46'21.1""",台2丙線,東勢寮~十分寮,3K+900~9K+619,平原區,5.7,12.2,東,3.4,2,0.6,"3,427 ","20,953 ","3,676 ","3,018 ",52 ,1 ,0 ,0 ,605 ,"1,277 ",15-16,0.50,,,
,,,,"N25'03'11.4""",,,,,,,西,3.4,2,0.6,"3,400 ","20,662 ","3,625 ","2,985 ",59 ,4 ,0 ,0 ,577 ,,,,,,
新北市,Ⅰ-45,十分寮,9K+800,"E121'46'46.8""",台2丙線,十分寮~雙溪,9K+619~19K+000,平原區,9.4,12.2,東,3.5,2,0.5,"2,973 ","31,020 ","3,300 ","2,538 ",17 ,19 ,0 ,0 ,726 ,"1,149 ",15-16,0.50,12 ,296 ,"(平日)自行車車輛數(輛/日)：19
(假日)自行車車輛數(輛/日)：32"
,,,,"N25'02'16.9""",,,,,,,西,3.5,2,0.5,"3,019 ","31,452 ","3,346 ","2,566 ",18 ,24 ,0 ,0 ,738 ,,,,12 ,112 ,"(平日)自行車車輛數(輛/日)：17
(假日)自行車車輛數(輛/日)：34"
新北市,Ⅰ-46,平林休閒農場前,19K+100,"E121'50'53.6""",台2丙線,雙溪~公館,19K+000~22K+000,平原區,3.0,14.8,東,4.3,1.9,0.9,"2,693 ","9,204 ","3,068 ","2,236 ",10 ,17 ,0 ,0 ,805 ,"1,297 ",15-16,0.51,,,0 
,,,,"N25'02'6.1""",,,,,,,西,4.3,1.9,0.9,"2,757 ","9,435 ","3,145 ","2,276 ",15 ,16 ,0 ,0 ,838 ,,,,,,0 
新北市,Ⅰ-47,長潭橋,24K+100,"E121'53'26.4""",台2丙線,公館~福隆,22K+000~29K+834,平原區,7.8,14.8,東,4.3,1.9,0.9,"1,745 ","15,335 ","1,966 ","1,454 ",7 ,16 ,0 ,0 ,489 ,719 ,15-16,0.50,37 ,215 ,"(平日)自行車車輛數(輛/日)：16
(假日)自行車車輛數(輛/日)：37"
